,Company Name,Form Type,CIK,Date Filed,File Name,Date_filed
31602,BENIHANA INC,10-Q,935226,2005-02-17,edgar/data/935226/0000935226-05-000003.txt,2005-02-17
32473,BEST BUY CO INC,10-Q,764478,2005-01-06,edgar/data/764478/0001104659-05-000623.txt,2005-01-06
33297,BIO LOGIC SYSTEMS CORP,10-Q,355007,2005-01-14,edgar/data/355007/0001193125-05-006573.txt,2005-01-14
33345,BIO REFERENCE LABORATORIES INC,10-Q,792641,2005-03-10,edgar/data/792641/0001104659-05-010251.txt,2005-03-10
33378,BIOANALYTICAL SYSTEMS INC,10-Q,720154,2005-02-14,edgar/data/720154/0000927946-05-000027.txt,2005-02-14
33577,BIOMET INC,10-Q,351346,2005-01-10,edgar/data/351346/0000351346-05-000015.txt,2005-01-10
33643,BIONUTRICS INC,10-Q,1030839,2005-03-15,edgar/data/1030839/0001144204-05-007565.txt,2005-03-15
33659,BIOPURE CORP,10-Q,815508,2005-03-14,edgar/data/815508/0000950135-05-001387.txt,2005-03-14
33795,BIOVERIS CORP,10-Q,1264899,2005-02-14,edgar/data/1264899/0000950133-05-000560.txt,2005-02-14
33829,BIRDS EYE FOODS INC,10-Q,26285,2005-02-07,edgar/data/26285/0000950117-05-000506.txt,2005-02-07
33949,BISYS GROUP INC,10-Q,883587,2005-02-09,edgar/data/883587/0000950152-05-000912.txt,2005-02-09
33996,BJ SERVICES CO,10-Q,864328,2005-02-09,edgar/data/864328/0001193125-05-023562.txt,2005-02-09
34141,BLACK BOX CORP,10-Q,849547,2005-02-10,edgar/data/849547/0000950128-05-000046.txt,2005-02-10
35385,BLUE COAT SYSTEMS INC,10-Q,1095600,2005-03-11,edgar/data/1095600/0001193125-05-047855.txt,2005-03-11
35499,BLUE RIDGE REAL ESTATE CO,10-Q,12779,2005-03-17,edgar/data/12779/0000012779-05-000009.txt,2005-03-17
35800,BMC SOFTWARE INC,10-Q,835729,2005-02-09,edgar/data/835729/0000950129-05-001093.txt,2005-02-09
36430,BOLT TECHNOLOGY CORP,10-Q,354655,2005-02-11,edgar/data/354655/0001193125-05-027125.txt,2005-02-11
36565,BONE CARE INTERNATIONAL INC,10-Q,1009405,2005-02-09,edgar/data/1009405/0000893220-05-000265.txt,2005-02-09
36656,"BOOKHAM, INC.",10-Q,1110647,2005-02-10,edgar/data/1110647/0001104659-05-005265.txt,2005-02-10
36724,BOOTH CREEK SKI HOLDINGS INC,10-Q,1037253,2005-03-18,edgar/data/1037253/0001193125-05-055415.txt,2005-03-18
37034,BOSTON ACOUSTICS INC,10-Q,805268,2005-02-08,edgar/data/805268/0001193125-05-022271.txt,2005-02-08
